Date,Meal,Food,Gram,Calories
2026-05-16,Dinner,oats,66.0,248.0
2026-05-15,Breakfast,oats,66.0,248.0
2026-05-14,Breakfast,oats,66.0,248.0
2026-05-13,Dinner,oats,66.0,248.0
2026-05-12,Dinner,oats,66.0,248.0
2026-05-18,Breakfast,milk,200.0,134.0
2026-05-18,Lunch,ryebread,200.0,0.0
2026-05-18,Dinner,beef,500.0,645.0
2026-05-15,Dinner,beef,500.0,645.0
2026-05-13,Dinner,beef,500.0,645.0
2026-05-14,Dinner,beef,500.0,645.0
2026-05-13,Dinner,beef,500.0,645.0
2026-05-19,Breakfast,oats,200.0,750.0
2026-05-19,Breakfast,oats,200.0,750.0
2026-05-19,Breakfast,oats,33.0,124.0
2026-05-24,Lunch,Egg,130.0,207.0
2026-05-24,Breakfast,Strawberry,150.0,75.0
2026-05-24,Breakfast,yoghurt,200.0,320.0
2026-05-25,Dinner,Beef,217.0,280.0
2026-05-25,Breakfast,Eggs,100.0,250.0
2026-05-25,Lunch,Salad,150.0,200.0
2026-05-25,Dinner,Pasta,200.0,300.0
2026-05-25,Breakfast,oats,100.0,250.0
2026-05-25,Lunch,Salad,150.0,200.0
2026-05-25,Dinner,Pasta,200.0,300.0
2026-05-26,Dinner,rice,180.0,250.0
2026-05-26,Dinner,Chicken,100.0,188.0
2026-05-26,Lunch,Egg,110,175.0
